,arsno,bstopid,bstopnm,gpsx,gpsy,stoptype
749,05189,164630301,롯데호텔백화점.서면역,129.055856546214,35.1578562409,일반
751,05192,172640401,부암역.당감입구,129.050682317136,35.158548378331,일반
753,05194,172640301,부암역,129.0490133333,35.157205,일반
755,05196,172080201,CBS방송국,129.04975,35.1527266667,일반
758,05199,172540301,범천건강문화센터,129.0483016667,35.1511,일반
760,05201,172540302,선암초등학교,129.0497633333,35.1497216667,일반
762,05203,172710101,약수터입구,129.05039,35.1476366667,일반
764,05205,169420103,서호정사,129.051155,35.1455033333,일반
766,05207,172710202,호천마을입구,129.05018,35.1442116667,일반
769,05211,172700101,신암.범천2동주민센터,129.053785,35.1484933333,일반
771,05213,164690201,경남아파트,129.0559416667,35.14402,일반
773,05223,164090201,범내골역.상공회의소,129.061024703109,35.147769329636,일반
775,05225,164290501,지오플레이스,129.0642627576,35.1503885149,일반
776,05226,172730202,동의대학교입구,129.03381,35.1476,일반
777,05228,164100302,범내골역,129.05901261197,35.147594148749,일반
778,05230,164670201,부산진초등학교,129.058226,35.150334,일반
